Tweet Text,label (annotator1),label (annotator2),label (annotator3)
Marine Le Pen might just have won the presidential elections in #France - Scandal engulfing Fillon grows.,1,1,
Australia's treasurer tells us his country doesn't plan to walk away from the TPP just because the U.S. pulled out…,2,2,
Milwaukee Man Shot 7 Times Over Matter of Stolen Sunglasses; Suspect at Large,1,1,
Australia set 370-run target for Pakistan. #PakvAus #5thODi,0,0,
Inside sick illegal UK puppy farms where breeder left dogs in complete darkness 'close to death' (graphic images)…,1,1,
Police are appealing for help in tracing a missing 12 year-old-boy from Wetherden -,1,1,
Jake's & Cooper's Wine Bar in Manayunk reopens - 6 months after a flood,0,0,
"Case back in court this am involving Royal Canadian mint worker found guilty of smuggling $165,000 of gold in rectum #ottnews",1,1,
"With the Orange cucky doll in the white house. The hits just keep on coming, this guy is already the biggest joke in Presidential history!",0,0,
Just imagine... if Russian troops were amassed on America's borders (Op-Edge by @NeilClark66),1,1,
Maine Sen. Angus King Says He'll Vote Against Pruitt Nomination,1,2,
"US Political Divide Seeps Into Football, Super Bowl",1,1,
“Billie Jean” was about a girl who climbed over Michael Jackson's wall one morning and accused him of being the father of one of her twins.,0,0,
Are Jamie and Bianca really dropping the L Bomb after a few days of kissing?! What are they? 12?! #CBB,0,0,
"McCain slams Trump: Withdrawing from TPP is a ""serious mistake""",2,2,
"white feminists speaking about the dress code & catcalling vs racism, transphobia, & ableism",0,0,
Three Arrested After Woman's Rape Livestreamed on Facebook,1,1,
The violence in Chicago largely stems from a world of no hope. Beefing up police won't do that,1,1,
#Nawazsharif forbidden from making speech in Davos due to corruption investigation,1,1,
Austrian police arrest 14 in terror raids,1,2,
Global Crude oil price of Indian Basket was US$ 53.46 per bbl on 20.01.2017,1,1,
Uhuru is expected to pray for Garrisa victim to resurrect and become voters in August #UhuruTenaGarissa,1,1,
Voters passed this measure to police ethics & campaign in South Dakota. Now lawmakers are considering a repeal:,1,1,
How much evidence of mental imbalance would it take for the GOP Congress to move to curtail/impeach/25th Amendment Trump.,0,0,
"America will have to unite to acknowledge, w/o blame, a love for country that transcends its leader. Via Carl Sagan:",0,0,
Let's talk about the biggest slept on song from bangtan. And yes even more than Run. I'm talking about Young Forever.,0,0,
Weed helped me not kill somebody today.. Murder and Marijuana can't both be illegal..,0,0,
"From Kashmir to Kerala & Guj to Bengal, #CongressGheraosRBI to protest against the demonetization disaster & underm…",2,1,
Lee Jun Ki's agency denies he's dating IU,0,0,
The finest behind the scenes TV photo ever taken. The cast of Allo Allo and Doctor Who mingle during a fire alarm a…,0,0,
"01-25 Day starter Top stories: Julian Assange vindicated? Ghomeshi trial resumes, Bosma trial latest #JulianAssange",0,0,
Scotland eyes 50% renewable energy by 2030 in shift away from North Sea oil,2,2,
The scariest movie at Sundance was a documentary about Hulk Hogan,1,1,
"Bedford Row Brian Altman QC ""Criminal Prosecution File"" FSB SVR MOST WANTED MUG*SHOTS #KREMLIN ARMOURY MUSEUM TRUST",0,0,
"Forecast Wed: Pockets of Moderate, locally High pollution, mainly SE England. Otherwise Low. #ukair",1,1,
Don't get why Liverpool fans are getting gassed over this look what happened with Suarez,0,0,
B.A.P vs. EXO - K-Pop Top 40 of 2016 via @fusetv,0,0,
"After a plane crash claimed the lives of almost the entire team, Chapecoense are rebuilding to honour the fallen.…",1,1,
Former Harrisburg mayor's Wild West obsession leads to trial tomorrow on 112 counts of receiving stolen property,2,2,
"London will remain Europe's most important financial hub, Santander Chairman Ana Botin says",2,2,
@GreggJarrett Part of the Douchacratic plan to hinder the new POTUS through harassment. Soviet plants in the Dem party?,2,2,
"Oh, honey. NBC is bringing back ""Will & Grace.""",1,1,
LeBron James Zings Donald Trump 'Goofy Votes',1,1,
"UPDF Generals, Police AIGPs & Uganda Prisons Commissioners help the President decorate awardees #LiberationDay17",1,1,
Pls help us find #missing 13yo Keyanna Hull. Last seen Thurs at Cribbs Causeway. May have got bus to London. Pls RT…,0,0,
Hundreds Of Muslim Refugees Arrested For Rape & Child Molestation Across The UK Are Overwhelming The Prison System,1,1,
The tongue can set an entire forest ablaze with fire and destroy it.It can also release water to weary souls.It's always a matter of choice.,0,0,
Good year to be a Patriots fan. Your team is likely going to the Super Bowl and your presidential candidate was elected.,0,0,
"To help @realDonaldTrump fight fraud, BadlandsNP has identified 323 obviously fake voters here in Jackson Co., SD.…",1,1,
This is how the communists behave against the nationalists whether its West Bengal or Kerala. #Kannur,0,0,
"This means the march route's entirely flooded: Michigan, Wabash, State are packed, people still waiting for trains into city @chicagotribune",1,1,
Microsoft Asserts Clientsí Rights in FBI E-Mail Searches Fight,2,3,
Biafrans Trump Rally - Killings by Nigerian Army 4,0,2,
Arcanine 87% (15/12/12) bite fast/fire blast) till 20:16:31 (19m 31s),0,0,
Country which elected president who hinted Obama was born in Kenya and that Sen Cruz's dad might have killed JFK is shocked President lies,1,0,
#nrp mending beli album bts yang baru atau lightstick army bomb ver 2?,0,0,
"Blacks and Hispanics cause disproportionately higher traffic deaths and injuries, accordi…",0,0,
It is striking how MSM are normalising the fascist Trump while continuing to undermine and trash the socialist Corbyn.,0,0,
Does the baby really *have* to be tied to the time bomb? It's hardly going to defuse the thing then alert the authorities,0,0,
The Shias of Mumbai in clothes symbolizing the Battle of Karbala protesting Yazidiyat at Kurla Moharam procession.…,0,0,
"*GEJ in Washington - Deji Adeyanju, self-acclaimed PDP operative, exposed as peddler of lies and fake reports",1,1,
Soldiers are standing up against religious discrimination of Muslims. I'm a veteran and I stand with my Muslim brot…,0,0,
"If you were the Nazi that was bumped by Shia LaBeouf, make sure you contact the Alt-Right's preferred lawyer.…",0,0,
Try this spicy Moroccan carrot salad recipe for Meatless Monday,0,0,
Cardin/Schumer/Graham/McCain to drop bill this week to make any changes to Russian sanctions subject to Congressional vote.,2,2,
Pearl Jam to be inducted to Rock and Roll Hall of Fame by legend Neil Young this spring,2,2,
Trump Strategist Steve Bannon Says Media Should ‘Keep Its Mouth Shut’ -,2,2,
BT lines up new Europe boss after Italy accounting scandal,1,2,
"[INFO] 170127 Minzy to sing the OST for MBC's new drama 'Rebel: Thief Who Stole the People', to be released soon",0,1,
"World's so called largest democracy, that has caged millions, killed millions, abducted and raped thousands, blinded hundreds #BlackDay",0,0,
"We're sorry to hear that Gordon Kaye, who played Rene in 'Allo 'Allo has died at the age of 75. Our thoughts are wi…",1,2,
Police investigation against Kejriwal for 'alleged' corruption in construction of a 'Drain' while BJP MCD looted 19…,1,1,
"Frivolous remark today by DUP Chair, Lord Morrow, about the boilers all being on, shows DUP just doesn't get it. Voters do.",1,1,
After Egypt shuttered dreams of Ugandans in #AFCON2017 they've started sharing bible verses,0,0,
ATTI: #ML30WR Bus 293 on the West Run Route is at the intersection of West Run and Stewartstown Road: 1/25/2017 7:26:08 AM,0,1,
Corruption Probe Against Babus Must Conclude in 90 Days: Government New guidelines,1,1,
This is a Cornwall liberal appreciation thread carefully listing every person who resisted the toxic conservative environment of my hometown,0,0,
Astana Peace Talks: Turning Point for Syria and World Politics? #Gold,0,0,
Iran starts sending own oil tankers to Europe,0,1,
"@HillaryClinton @FoxNewsInsider Hillary, continue fighting for a Weak America. Another Run OK, lets see what it brings ,",1,0,
